Station,y,x,layer,path
Aerodrome de Maubray,6538583.426084088161588,388702.932215778389946,Aérodrome_de_Maubray fid_21,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Aérodrome_de_Maubray.gpkg|layername=fid_21
Bois de Bon-Secours,6532745.753244983963668,402548.922120281495154,Bois_de_Bon-Secours fid_13,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Bois_de_Bon-Secours.gpkg|layername=fid_13
Bois de Wadelincourt,6538756.115523207932711,405452.100819544226397,Bois_de_Wadelincourt fid_12,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Bois_de_Wadelincourt.gpkg|layername=fid_12
Chemin de Jérusalem,6538383.641235603950918,390820.539626700920053,Chemin_de_Jérusalem fid_20,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Chemin_de_Jérusalem.gpkg|layername=fid_20
Rue de Roucourt,6537339.933878880925477,401847.824110688350629,Chemin_de_Roucourt fid_19,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Chemin_de_Roucourt.gpkg|layername=fid_19
Chemin du Trainage,6524327.688713902607560,409716.351334897510242,Chemin_de_Trainage fid_11,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Chemin_de_Trainage.gpkg|layername=fid_11
Friche des Vignobles,6548585.765547531656921,382778.650072555639781,Friche_des_Vignobles fid_10,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Friche_des_Vignobles.gpkg|layername=fid_10
Marais de Douvrain,6526595.659463144838810,427534.492635784437880,Marais_de_Douvrais fid_9,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Marais_de_Douvrais.gpkg|layername=fid_9
Marcasse,6518742.509715888649225,426440.846793105010875,Marcasse fid_18,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Marcasse.gpkg|layername=fid_18
Mer de Sable,6532784.431774534285069,414117.792482318705879,Mer_de_Sable fid_8,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Mer_de_Sable.gpkg|layername=fid_8
Mont Ostènes,6519656.037679926492274,434262.252778812486213,Mont_Ostènes fid_7,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Mont_Ostènes.gpkg|layername=fid_7
MLM10,6555910.962636476382613,466369.487776579859201,Nom_MLM10,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM10.shp
MLM14,6542816.262422290630639,460933.320453029009514,Nom_MLM14,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM14.shp
MLM17,6543891.733888850547373,460896.833319181459956,Nom_MLM17,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM17.shp
MLM2,6532104.188590407371521,408751.302835065987892,Nom_MLM2,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM2.shp
MLM7,6551284.904351537115872,464718.202530034177471,Nom_MLM7,C:/Users/lalie/Desktop/layer site mémoire/cenroide_martin/Centroide Mercator splitted/Nom_MLM7.shp
Parc de Jemappes,6525597.783822454512119,432479.162173311226070,Parc_de_Jemappes fid_6,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Parc_de_Jemappes.gpkg|layername=fid_6
Parc des 5 Rocs,6547569.337045530788600,381863.318930297624320,Parc_des_5_Rocs fid_17,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Parc_des_5_Rocs.gpkg|layername=fid_17
Pré à Parchon,6536724.193979899398983,404428.509076017711777,Pré_à_Parchon fid_5,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Pré_à_Parchon.gpkg|layername=fid_5
Ravel98,6521185.951040834188461,432933.910145193221979,Ravel98 fid_4,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Ravel98.gpkg|layername=fid_4
Warchin,6551947.442355932667851,381782.765939279051963,Rue_Jean_Winance fid_1,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_Jean_Winance.gpkg|layername=fid_1
Rue là-dessous,6520486.564235053025186,428094.753547063446604,Rue_La-dessous fid_14,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_La-dessous.gpkg|layername=fid_14
Rue du Carme,6536439.518967253156006,405358.064444088609889,Rue_de_Carne fid_3,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_de_Carne.gpkg|layername=fid_3
Rue du Castillon,6521404.757480532862246,431004.741554434411228,Rue_de_Castillon fid_15,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_de_Castillon.gpkg|layername=fid_15
Rue du bois,6540934.036757981404662,384935.821678293927107,Rue_du_Bois fid_16,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Rue_du_Bois.gpkg|layername=fid_16
Terril Bayemont-Saint Charles,6519388.807559046894312,490515.977195209532510,Station_Terril Bayemont-Saint Charles,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Bayemont-Saint Charles.gpkg|layername=Station_Terril Bayemont-Saint Charles
Terril Belle vue du huite,6514753.513530367054045,418081.617438595509157,Station_Terril Belle vue du huite,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Belle vue du huite.gpkg|layername=Station_Terril Belle vue du huite
Terril Ciply st1,6517881.685505361296237,439094.467868351610377,Station_Terril Ciply st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Ciply st1.gpkg|layername=Station_Terril Ciply st1
Terril Ciply st2,6518092.322861797176301,439123.688524217111990,Station_Terril Ciply st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Ciply st2.gpkg|layername=Station_Terril Ciply st2
Terril Cokerie st1,6518893.383399479091167,475008.271875497011933,Station_Terril Cokerie st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Cokerie st1.gpkg|layername=Station_Terril Cokerie st1
Terril Cokerie st2,6518791.470536119304597,475317.953461670142133,Station_Terril Cokerie st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Cokerie st2.gpkg|layername=Station_Terril Cokerie st2
Terril Dix-Huit,6518883.326857564039528,425990.213242901663762,Station_Terril Dix-Huit,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Dix-Huit.gpkg|layername=Station_Terril Dix-Huit
Terril Ferrand,6515471.401743006892502,416473.993218332005199,Station_Terril Ferrand,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Ferrand.gpkg|layername=Station_Terril Ferrand
Terril Grand Buisson,6518170.139222840778530,424577.799249399104156,Station_Terril Grand Buisson,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Grand Buisson.gpkg|layername=Station_Terril Grand Buisson
Terril Hensie,6525514.351745952852070,409321.603332942002453,Station_Terril Hensie,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Hensie.gpkg|layername=Station_Terril Hensie
Terril HÃ©ribus st1,6521702.032064346596599,438700.603231213754043,Station_Terril HÃ©ribus st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril HÃ©ribus st1.gpkg|layername=Station_Terril HÃ©ribus st1
Terril Naye-Ã -Bois,6520773.692368682473898,489996.479483340808656,Station_Terril Naye-Ã -Bois,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Naye-Ã -Bois.gpkg|layername=Station_Terril Naye-Ã -Bois
Terril Pays-Bas,6517400.502619131468236,500975.371490548830479,Station_Terril Pays-Bas,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Pays-Bas.gpkg|layername=Station_Terril Pays-Bas
Terril Quesnoy st1,6525464.753606826998293,460601.831630161788780,Station_Terril Quesnoy st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Quesnoy st1.gpkg|layername=Station_Terril Quesnoy st1
Terril Quesnoy st2,6525640.281049259938300,460298.697210589307360,Station_Terril Quesnoy st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Quesnoy st2.gpkg|layername=Station_Terril Quesnoy st2
Terril Rieux du Coeur,6520978.174036823213100,430867.992247549118474,Station_Terril Rieux du Coeur,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Rieux du Coeur.gpkg|layername=Station_Terril Rieux du Coeur
Terril SacrÃ©-FranÃ§ais st1,6520193.485764030367136,493622.825184492976405,Station_Terril SacrÃ©-FranÃ§ais st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril SacrÃ©-FranÃ§ais st1.gpkg|layername=Station_Terril SacrÃ©-FranÃ§ais st1
Terril Saint Antoine st1,6518197.824928678572178,419930.052570646570530,Station_Terril Saint Antoine st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Saint Antoine st1.gpkg|layername=Station_Terril Saint Antoine st1
Terril Saint Antoine st2,6517671.915916493162513,419921.673941382032353,Station_Terril Saint Antoine st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Saint Antoine st2.gpkg|layername=Station_Terril Saint Antoine st2
Terril Saint Antoine st3,6518386.666856407187879,419147.386602251266595,Station_Terril Saint Antoine st3,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Saint Antoine st3.gpkg|layername=Station_Terril Saint Antoine st3
Terril Sept st1,6519578.642646868713200,425434.886852202704176,Station_Terril Sept st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Sept st1.gpkg|layername=Station_Terril Sept st1
Terril Sept st2,6520203.493262948468328,425439.695520182081964,Station_Terril Sept st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Sept st2.gpkg|layername=Station_Terril Sept st2
Terril Sept st3,6519993.148687025532126,425111.005766181915533,Station_Terril Sept st3,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Sept st3.gpkg|layername=Station_Terril Sept st3
Terril Trazegnies st1,6526575.287840276025236,480386.779510388791095,Station_Terril Trazegnies st1,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Trazegnies st1.gpkg|layername=Station_Terril Trazegnies st1
Terril Trazegnies st2,6526574.647751006297767,480540.672151915088762,Station_Terril Trazegnies st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril Trazegnies st2.gpkg|layername=Station_Terril Trazegnies st2
Terril sacrÃ©-FranÃ§ais st2,6520445.885366129688919,493484.248536387050990,Station_Terril sacrÃ©-FranÃ§ais st2,C:/Users/lalie/Desktop/layer site mémoire/centroidealexl/Station_Terril sacrÃ©-FranÃ§ais st2.gpkg|layername=Station_Terril sacrÃ©-FranÃ§ais st2
Vieille Haine,6525641.139398129656911,426221.417379616876133,Vieill_Haine fid_2,C:/Users/lalie/Desktop/layer site mémoire/centroides station alex/Vieill_Haine.gpkg|layername=fid_2
camp-a-cayaux,6518685.762326228432357,445135.937298399745487,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
omya,6518184.922158495523036,445918.416328137682285,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
social,6526068.948245977051556,439843.091642590588890,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
jardin_suspendu,6524020.604607249610126,439720.963604544289410,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
prés_du_village,6524048.593560807406902,441813.975859749596566,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
cascade,6522456.969330873340368,441615.077861717902124,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
mont_panisel,6521619.825364938005805,443124.406874371808954,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
cimetierre_spienne,6519985.957648476585746,443236.526591055269819,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
moulin,6519582.527005359530449,443708.545034639362711,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
silex,6519147.830890889279544,443226.642652676382568,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
pont_prince,6518416.081516920588911,442070.574320926039945,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
trouille,6516834.747190847061574,446585.880615031986963,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
ronveaux,6519432.050885378383100,439460.940843031858094,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
gare,6520672.506750065833330,439214.105344234383665,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
ancienne_gare,6517913.429517618380487,447366.951340795552824,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
bois_havré,6525891.657654915936291,446621.229244214016944,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
chateau_havré,6527090.325781333260238,449654.251790455600712,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
village_abeille,6526796.705168087035418,440278.043317003699485,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
notre_dame_petit_nimy,6528056.507856411859393,440938.282562876236625,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
pemh_obourg,6529068.425169989466667,442963.811051933094859,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
parc_obourg,6528440.293590170331299,446134.608662410755642,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
haine,6526275.630105256102979,439210.872715691279154,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
géothermia,6526611.353660328313708,435761.342080416507088,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
gd_large,6528851.141442771069705,438098.504001864406746,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
tilou,6532803.842775082215667,441442.605729127186351,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
epargne,6523909.989562439732254,440461.331394590437412,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
st_waudru,6525202.944641043432057,439357.001164181041531,centroide final,C:/Users/lalie/Desktop/layer site mémoire/centroide final.gpkg
